mysql> SELECT * FROM gmina;
+------+-----------------------------+
| id   | name                        |
|  185 | gm. Wejherowo               |
|  186 | gm. Kruklanki               |
|  187 | gm. ?apsze Ni?ne            |
|  188 | gm. Komarów-Osada           |
|  189 | gm. Sorkwity                |
|  190 | gm. Sztum                   |
|  191 | gm. Gubin                   |
|  192 | gm. Biskupiec               |
|  193 | gm. ?aga?                   |
|  194 | m. Miko?ów                  |
|  195 | gm. Przemków                |
|  196 | gm. Stare Juchy             |
|  197 | gm. Lubsko                  |
|  198 | gm. Lubniewice              |
|  199 | gm. ?ubianka                |
|  200 | gm. Szczuczyn               |
|  201 | gm. Sadowie                 |
|  202 | gm. Tar?ów                  |
|  203 | m. Bielawa                  |
|  204 | m. Bielsk Podlaski          |
|  205 | gm. Lesko                   |
|  206 | gm. Ustrzyki Dolne          |
|  207 | gm. Krobia                  |
|  208 | gm. Jastarnia               |
|  209 | m. Otwock                   |
|  210 | m. Przemy?l                 |
|  211 | gm. Dzier?oniów             |
|  212 | m. P?ock                    |
|  213 | m. Stalowa Wola             |
|  214 | gm. Czerniejewo             |
|  215 | gm. Bogatynia               |
|  216 | gm. Piaski                  |
|  217 | gm. Bisztynek               |
|  218 | m. Braniewo                 |
|  219 | gm. ?ambinowice             |
|  220 | gm. Gniewkowo               |
|  221 | gm. Maszewo                 |
|  222 | m. Brodnica                 |
|  223 | gm. Brze?? Kujawski         |
|  224 | m. Brzeg                    |
|  225 | m. Ciechanów                |
|  226 | gm. Jaktorów                |
|  227 | gm. Hy?ne                   |
|  228 | gm. Ryglice                 |
|  229 | m. Gorlice                  |
|  230 | gm. Gocza?kowice-Zdrój      |
|  231 | m. Z?otów                   |
|  232 | gm. Zakrzew                 |
|  233 | m. Che?m                    |
|  234 | gm. Krempna                 |
|  235 | gm. Rz??nik                 |
|  236 | gm. Korczyna                |
|  237 | gm. Go?cieradów             |
|  238 | gm. Narol                   |
|  239 | gm. Rejowiec                |
|  240 | gm. Solec-Zdrój             |
|  241 | gm. Latowicz                |
|  242 | gm. Rokiciny                |
|  243 | gm. Zagna?sk                |
|  244 | gm. Skulsk                  |
|  245 | gm. Zielonki                |
|  246 | gm. Proszowice              |
|  247 | gm. Kamienica Polska        |
|  248 | gm. Strzelno                |
|  249 | gm. ?nin                    |
|  250 | gm. Stupsk                  |
|  251 | gm. Lubicz                  |
|  252 | gm. Lipiany                 |
|  253 | gm. Szczecinek              |
|  254 | gm. Radgoszcz               |
|  255 | gm. ?abno                   |
|  256 | gm. Wólka                   |
|  257 | gm. D?ugo??ka               |
|  258 | gm. S?aboszów               |
|  259 | gm. D?bno                   |
|  260 | gm. Krzeszowice             |
|  261 | gm. Zar?by Ko?cielne        |
|  262 | gm. Przykona                |
|  263 | gm. Czchów                  |
|  264 | gm. Czersk                  |
|  265 | gm. Aleksandrów ?ódzki      |
|  266 | gm. Borne Sulinowo          |
|  267 | gm. ?yraków                 |
|  268 | gm. Ujazd                   |
|  269 | gm. Jasienica               |
|  270 | gm. Wietrzychowice          |
|  271 | gm. Stargard                |
|  272 | gm. Chocz                   |
|  273 | gm. G?sawa                  |
|  274 | gm. Prabuty                 |
|  275 | gm. Puchaczów               |
|  276 | gm. Mas?owice               |
|  277 | gm. Mogielnica              |
|  278 | gm. ?arnów                  |
|  279 | gm. Rzezawa                 |
|  280 | gm. Podd?bice               |
|  281 | gm. P?czniew                |
|  282 | gm. Warka                   |
|  283 | gm. Buczek                  |
|  284 | gm. Kraszewice              |
